original_string	phrase	book	volume	pages
Et regressus iesus in virtute spiritus in galileam ( Lc 4, 14)	Et regressus iesus in virtute spiritus in galileam		4	14
Et ascendente iesu ... mari ( Mt 8, 23-24)	Et ascendente iesu ... mari		8	23-24
Nemo potest ... servire ( Lc 16, 13)	Nemo potest ... servire		16	13
Attendite a falsis prophetis qui veniunt ... rapaces ( Mt  7, 15)	Attendite a falsis prophetis qui veniunt ... rapaces		7	15
In illo tempore cum audisset iohannes in vinculis ... expectamus ( Mt. 11, 2-3)	In illo tempore cum audisset iohannes in vinculis ... expectamus		11	2-3
In illo tempore miserunt iudei … et reliqua ( Gv 1, 19-20)	In illo tempore miserunt iudei … et reliqua		1	19-20
Lc 3, 1-2	Lc 3, 1-2	-	3	-
Factum est autem ... stagnum genesareth	Factum est autem ... stagnum genesareth	-	-	-
Quis ex vobis inquit … quae erravit	Quis ex vobis inquit … quae erravit	-	-	-
Et ascendens iesus hierusolimam assumpsit duodecim discipulos suos seorsum itinere	Et ascendens iesus hierusolimam assumpsit duodecim discipulos suos seorsum itinere	-	-	-
Accesserunt ad iesum scribae et pharisaei dicentes magister volumus a te signum videre Cfr. Mt 12, 38	Accesserunt ad iesum scribae et pharisaei dicentes magister volumus a te signum videre Cfr. Mt 12, 38	-	12	-
per eum qui …. Amen	per eum qui …. Amen	-	-	-
Ecce ego mitto ad vos prophetas ...	Ecce ego mitto ad vos prophetas ...	-	-	-
Descendente Iesu de monte ...	Descendente Iesu de monte ...	-	-	-
Tunc vespere sabbati que lucescit in prima sabbati	Tunc vespere sabbati que lucescit in prima sabbati	-	-	-
Cum ergo esset sero die illo una sabbatorum ...  et latus	Cum ergo esset sero die illo una sabbatorum ...  et latus	-	-	-
Dixit Ihesus Simoni Petro… et ducet quo non vis	Dixit Ihesus Simoni Petro… et ducet quo non vis	-	-	-
Nemo potest duobus domini servire	Nemo potest duobus domini servire	-	-	-
Et cum introisset Ierosolymam … et reliqua	Et cum introisset Ierosolymam … et reliqua	-	-	-
Postquam consumati sunt die octo ...	Postquam consumati sunt die octo ...	-	-	-
Et factum est dum intraret in domum cuiusdam principis phariseorum sabbato manducare panem et ipsi observabant eum et ecce homo quidam ydropicus erat	Et factum est dum intraret in domum cuiusdam principis phariseorum sabbato manducare panem et ipsi observabant eum et ecce homo quidam ydropicus erat	-	-	-
Ascendens autem iesus in unam navem … aliquantulum	Ascendens autem iesus in unam navem … aliquantulum	-	-	-
Aperiens autem Petrus os suum dixit: in veritate comperi …  personarum acceptor Deus … verba in quibus salvus eris … domus tua (At 10, 34-11, 14)	Aperiens autem Petrus os suum dixit: in veritate comperi …  personarum acceptor Deus … verba in quibus salvus eris … domus tua	At	10	14
Fratres, obsecro vos, ne deficiatis in tribulationibus meis pro vobis quae est gloria vestra (Cfr. Ef 3, 13)	Fratres, obsecro vos, ne deficiatis in tribulationibus meis pro vobis quae est gloria vestra	Cfr.	3	13
Ideo dico vobis: nolite solliciti esse animae … vestiamini (Cfr. Mt 6, 25)	Ideo dico vobis: nolite solliciti esse animae … vestiamini	Cfr.	6	25
Videte quomodo caute ambuletis non ut insipientes sed ut sapientes (Ef 5, 15-16)	Videte quomodo caute ambuletis non ut insipientes sed ut sapientes	Ef	5	15-16
Renovamini autem spiritu sensus … in iustitia et sanctitate veritatis (Ef 4, 23-24)	Renovamini autem spiritu sensus … in iustitia et sanctitate veritatis	Ef	4	23-24
Obsecro vos itaque ego vinctus … qua vocati estis (Ef 4, 1)	Obsecro vos itaque ego vinctus … qua vocati estis	Ef	4	1
Fratres scriptum est quem habraam duos filios habuit unum de ancilla et unum de libera (Ep. Gal. 4, 22)	Fratres scriptum est quem habraam duos filios habuit unum de ancilla et unum de libera	Ep.	4	22
