Autore/Opera	author	opera	Forma
1 Cor 11, 20-12, 13	1 Cor 11	 20-12, 13	lectio
1 Cor 11, 20-24	1 Cor 11	 20-24	nan
1 Cor 11, 25-34	1 Cor 11	 25-34	nan
1 Cor 12, 1-13	1 Cor 12	 1-13	nan
1 Cr 21, 18-22, 16	1 Cr 21	 18-22, 16	lectio
1 Cr 28, 1-29, 21	1 Cr 28	 1-29, 21	lectio
1 Paralip. 21, 18-23, 5; 28, 1-29, 25	1 Paralip. 21	 18-23, 5; 28, 1-29, 25	lectio
1 Tm  3, 16	1 Tm  3	 16	lectio
2 Cor 11, 19-12, 9	2 Cor 11	 19-12, 9	lectio
2 Cr 5, 1-7, 16	2 Cr 5	 1-7, 16	lectio
Act 9, 1-28	Act 9	 1-28	lectio
Adalbertus Pragensis, Hom. in natale s. Alexii	Adalbertus Pragensis	 Hom. in natale s. Alexii	homelia (nct)
Alcuinus, In Ioh II, 5	Alcuinus	 In Ioh II, 5	homelia (nct)
Alphanus Salernitanus, Carm. 37 De s. Petro apostolo	Alphanus Salernitanus	 Carm. 37 De s. Petro apostolo	versus
Ambrosiaster, In Rm  8, 18	Ambrosiaster	 In Rm  8, 18	homelia (nct)
Ambrosiaster, In Rm 5, 18-6, 2	Ambrosiaster	 In Rm 5, 18-6, 2	lectio
Ambrosiaster, In Rm 6, 3-11	Ambrosiaster	 In Rm 6, 3-11	homelia (nct)
Ambrosiaster, in Rm 5, 5, 5-12	Ambrosiaster	 in Rm 5, 5, 5-12	homelia (nct)
Ambrosius, De fide II, 4, 37-8, 65; 9, 77-79; 10, 88-12, 106; 14, 128	Ambrosius	 De fide II, 4, 37-8, 65; 9, 77-79; 10, 88-12, 106; 14, 128	homelia (nct)
Ambrosius, De inst. virg. 33-35; 44-45; 51-64	Ambrosius	 De inst. virg. 33-35; 44-45; 51-64	homelia (nct)
Ambrosius, De virg. I, 2	Ambrosius	 De virg. I, 2	homelia (nct)
Ambrosius, De virg. I, 4-11	Ambrosius	 De virg. I, 4-11	homelia (nct)
Ambrosius, De virg. II, 6-17	Ambrosius	 De virg. II, 6-17	homelia (nct)
Ambrosius, De virg. II,2, 6-17	Ambrosius	 De virg. II,2, 6-17	homelia (nct)
Ambrosius, Ep. 77	Ambrosius	 Ep. 77	homelia (nct)
Ambrosius, In Lc 1, 17-21	Ambrosius	 In Lc 1, 17-21	homelia (nct)
Ambrosius, In Lc 8, 33-52	Ambrosius	 In Lc 8, 33-52	homelia (nct)
Ambrosius, In Lc I, 15-17	Ambrosius	 In Lc I, 15-17	homelia (nct)
Ambrosius, In Lc I, 15-46	Ambrosius	 In Lc I, 15-46	homelia (nct)
Ambrosius, In Lc I, 21-23	Ambrosius	 In Lc I, 21-23	homelia (nct)
Ambrosius, In Lc I, 24-42	Ambrosius	 In Lc I, 24-42	homelia (nct)
Ambrosius, In Lc I, 42-46	Ambrosius	 In Lc I, 42-46	homelia (nct)
Ambrosius, In Lc II,  30-35	Ambrosius	 In Lc II,  30-35	nan
Ambrosius, In Lc II, 1-18	Ambrosius	 In Lc II, 1-18	homelia (nct)
Ambrosius, In Lc II, 1-3; 4; 5-9; 14-29	Ambrosius	 In Lc II, 1-3; 4; 5-9; 14-29	homelia (nct)
Ambrosius, In Lc II, 1-3; 4; 5-9;14-29	Ambrosius	 In Lc II, 1-3; 4; 5-9;14-29	homelia (nct)
Ambrosius, In Lc II, 19-29	Ambrosius	 In Lc II, 19-29	homelia (nct)
Ambrosius, In Lc II, 30-35	Ambrosius	 In Lc II, 30-35	homelia (nct)
Ambrosius, In Lc II, 36-49	Ambrosius	 In Lc II, 36-49	homelia (nct)
Ambrosius, In Lc II, 55-62	Ambrosius	 In Lc II, 55-62	homelia (nct)
Ambrosius, In Lc II, 58-63	Ambrosius	 In Lc II, 58-63	homelia (nct)
Ambrosius, In Lc II, 63-66	Ambrosius	 In Lc II, 63-66	homelia (nct)
Ambrosius, In Lc II, 67-73	Ambrosius	 In Lc II, 67-73	homelia (nct)
Ambrosius, In Lc II, 67-82	Ambrosius	 In Lc II, 67-82	homelia (nct)
Ambrosius, In Lc II, 83; 90; 91	Ambrosius	 In Lc II, 83; 90; 91	homelia (nct)
Ambrosius, In Lc IV, 43-45	Ambrosius	 In Lc IV, 43-45	homelia (nct)
Ambrosius, In Lc IV, 43-46	Ambrosius	 In Lc IV, 43-46	homelia (nct)
Ambrosius, In Lc IV, 43-53	Ambrosius	 In Lc IV, 43-53	homelia (nct)
Ambrosius, In Lc IV, 43-56	Ambrosius	 In Lc IV, 43-56	homelia (nct)
Ambrosius, In Lc IV, 57-61	Ambrosius	 In Lc IV, 57-61	homelia (nct)
Ambrosius, In Lc IV, 57-67	Ambrosius	 In Lc IV, 57-67	homelia (nct)
Ambrosius, In Lc IV, 57-67	Ambrosius	 In Lc IV, 57-67	nan
Ambrosius, In Lc IV, 68-79	Ambrosius	 In Lc IV, 68-79	homelia (nct)
Ambrosius, In Lc V, 88-92	Ambrosius	 In Lc V, 88-92	homelia (nct)
Ambrosius, In Lc V, 89-92	Ambrosius	 In Lc V, 89-92	homelia (nct)
Ambrosius, In Lc VII	Ambrosius	 In Lc VII	homelia (nct)
Ambrosius, In Lc VII,  122-130	Ambrosius	 In Lc VII,  122-130	homelia (nct)
Ambrosius, In Lc VII, 100-108	Ambrosius	 In Lc VII, 100-108	homelia (nct)
Ambrosius, In Lc VII, 122-126	Ambrosius	 In Lc VII, 122-126	homelia (nct)
Ambrosius, In Lc VII, 122-130	Ambrosius	 In Lc VII, 122-130	homelia (nct)
Ambrosius, In Lc VII, 123-130	Ambrosius	 In Lc VII, 123-130	homelia (nct)
Ambrosius, In Lc VII, 173-175	Ambrosius	 In Lc VII, 173-175	homelia (nct)
Ambrosius, In Lc VII, 207-211	Ambrosius	 In Lc VII, 207-211	homelia (nct)
Ambrosius, In Lc VII, 46-65	Ambrosius	 In Lc VII, 46-65	homelia (nct)
Ambrosius, In Lc VII, 71-86	Ambrosius	 In Lc VII, 71-86	homelia (nct)
Ambrosius, In Lc VII, 87-90	Ambrosius	 In Lc VII, 87-90	homelia (nct)
Ambrosius, In Lc VII, 98-99	Ambrosius	 In Lc VII, 98-99	homelia (nct)
Ambrosius, In Lc VIII, 21-24	Ambrosius	 In Lc VIII, 21-24	homelia (nct)
Ambrosius, In Lc VIII, 21-27	Ambrosius	 In Lc VIII, 21-27	homelia (nct)
Ambrosius, In Lc VIII, 65-79	Ambrosius	 In Lc VIII, 65-79	homelia (nct)
Ambrosius, In Lc VIII, 80-90	Ambrosius	 In Lc VIII, 80-90	homelia (nct)
Ambrosius, In Lc X, 14-21	Ambrosius	 In Lc X, 14-21	homelia (nct)
Ambrosius, In Lc X, 14-21	Ambrosius	 In Lc X, 14-21	nan
Ambrosius, In Lc X, 147-174	Ambrosius	 In Lc X, 147-174	homelia (nct)
Ambrosius, in Lc IV, 68-79	Ambrosius	 in Lc IV, 68-79	homelia (nct)
Ambrosius, in Lc V, 83-88	Ambrosius	 in Lc V, 83-88	homelia (nct)
Ambrosius, in Lc VII, 122-130	Ambrosius	 in Lc VII, 122-130	homelia (nct)
Ambrosius Autpertus, De assumptione:	Ambrosius Autpertus	 De assumptione:	homelia (nct)
Ambrosius Autpertus, S. De transfiguratione	Ambrosius Autpertus	 S. De transfiguratione	homelia (nct)
Ambrosius Autpertus, S. de assumpt.	Ambrosius Autpertus	 S. de assumpt.	homelia (nct)
Ambrosius Autpertus, S. de assumpt., 10-12	Ambrosius Autpertus	 S. de assumpt., 10-12	homelia (nct)
Ambrosius Autpertus, S. de assumptione	Ambrosius Autpertus	 S. de assumptione	homelia (nct)
Ambrosius Autpertus, S. in purificatione s. Mariae	Ambrosius Autpertus	 S. in purificatione s. Mariae	homelia (nct)
